Transformer_ID,P_failure,Power_kVA,EENS_kWh,Replacement_Cost_COP,Consequence_Cost_COP,EPV_COP,Actual_Burned
8009,0.7346146724034928,15.0,420.3,1800000.0,4051500.0,11883468.327419378,0
8510,0.4858434901054018,25.0,480.6,3000000.0,5553000.0,10771888.0921687,0
9606,0.27694051482595616,37.5,842.3999999999999,4500000.0,8862000.0,9799096.00106827,1
7012,0.2634600694497378,45.0,729.0,5400000.0,9195000.0,9672401.307365272,0
1965,0.20529383331381007,45.0,1215.0,5400000.0,11625000.0,9528765.45505907,0
15856,0.3657724922267319,25.0,631.8,3000000.0,6309000.0,9213811.867813667,0
15772,0.35316053394793745,25.0,631.8,3000000.0,6309000.0,8896116.5426182,0
5744,0.4246622701051424,25.0,405.0,3000000.0,5175000.0,8774488.370023845,0
5510,0.37732282098859327,25.0,534.6,3000000.0,5823000.0,8772585.998698032,0
15144,0.6299540010966875,15.0,291.6,1800000.0,3408000.0,8571882.243763844,0
